tid,attribute,correct_val
0,ProviderNumber,10018
0,HospitalName,callahan eye foundation hospital
0,Address1,1720 university blvd
0,Address2,
0,Address3,
0,City,birmingham
0,State,al
0,ZipCode,35233
0,CountyName,jefferson
0,PhoneNumber,2053258100
0,HospitalType,acute care hospitals
0,HospitalOwner,voluntary non-profit - private
0,EmergencyService,yes
0,Condition,surgical infection prevention
0,MeasureCode,scip-inf-6
0,MeasureName,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)
0,Score,
0,Sample,
0,Stateavg,al_scip-inf-6
1,ProviderNumber,10019
1,HospitalName,helen keller memorial hospital
1,Address1,1300 south montgomery avenue
1,Address2,
1,Address3,
1,City,sheffield
1,State,al
1,ZipCode,35660
1,CountyName,jefferson
1,PhoneNumber,2563864556
1,HospitalType,acute care hospitals
1,HospitalOwner,government - hospital district or authority
1,EmergencyService,yes
1,Condition,heart attack
1,MeasureCode,ami-7a
1,MeasureName,heart attack patients given fibrinolytic medication within 30 minutes of arrival
1,Score,
1,Sample,0 patients
1,Stateavg,al_ami-7a
2,ProviderNumber,10019
2,HospitalName,helen keller memorial hospital
2,Address1,1300 south montgomery avenue
2,Address2,
2,Address3,
2,City,sheffield
2,State,al
2,ZipCode,35660
2,CountyName,jefferson
2,PhoneNumber,2563864556
2,HospitalType,acute care hospitals
2,HospitalOwner,government - hospital district or authority
2,EmergencyService,yes
2,Condition,heart failure
2,MeasureCode,hf-4
2,MeasureName,heart failure patients given smoking cessation advice/counseling
2,Score,100%
2,Sample,41 patients
2,Stateavg,al_hf-4
3,ProviderNumber,10001
3,HospitalName,southeast alabama medical center
3,Address1,1108 ross clark circle
3,Address2,
3,Address3,
3,City,dothan
3,State,al
3,ZipCode,36302
3,CountyName,houston
3,PhoneNumber,3347938701
3,HospitalType,acute care hospitals
3,HospitalOwner,government - hospital district or authority
3,EmergencyService,yes
3,Condition,pneumonia
3,MeasureCode,pn-6
3,MeasureName,pneumonia patients given the most appropriate initial antibiotic(s)
3,Score,80%
3,Sample,147 patients
3,Stateavg,al_pn-6
4,ProviderNumber,10001
4,HospitalName,southeast alabama medical center
4,Address1,1108 ross clark circle
4,Address2,
4,Address3,
4,City,dothan
4,State,al
4,ZipCode,36302
4,CountyName,houston
4,PhoneNumber,3347938701
4,HospitalType,acute care hospitals
4,HospitalOwner,government - hospital district or authority
4,EmergencyService,yes
4,Condition,surgical infection prevention
4,MeasureCode,scip-card-2
4,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
4,Score,72%
4,Sample,79 patients
4,Stateavg,al_scip-card-2
5,ProviderNumber,10005
5,HospitalName,marshall medical center south
5,Address1,2505 u s highway 431 north
5,Address2,
5,Address3,
5,City,boaz
5,State,al
5,ZipCode,35957
5,CountyName,marshall
5,PhoneNumber,2565938310
5,HospitalType,acute care hospitals
5,HospitalOwner,government - hospital district or authority
5,EmergencyService,yes
5,Condition,heart attack
5,MeasureCode,ami-3
5,MeasureName,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
5,Score,100%
5,Sample,2 patients
5,Stateavg,al_ami-3
6,ProviderNumber,10005
6,HospitalName,marshall medical center south
6,Address1,2505 u s highway 431 north
6,Address2,
6,Address3,
6,City,boaz
6,State,al
6,ZipCode,35957
6,CountyName,marshall
6,PhoneNumber,2565938310
6,HospitalType,acute care hospitals
6,HospitalOwner,government - hospital district or authority
6,EmergencyService,yes
6,Condition,pneumonia
6,MeasureCode,pn-7
6,MeasureName,pneumonia patients assessed and given influenza vaccination
6,Score,81%
6,Sample,118 patients
6,Stateavg,al_pn-7
7,ProviderNumber,10005
7,HospitalName,marshall medical center south
7,Address1,2505 u s highway 431 north
7,Address2,
7,Address3,
7,City,boaz
7,State,al
7,ZipCode,35957
7,CountyName,marshall
7,PhoneNumber,2565938310
7,HospitalType,acute care hospitals
7,HospitalOwner,government - hospital district or authority
7,EmergencyService,yes
7,Condition,surgical infection prevention
7,MeasureCode,scip-card-2
7,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
7,Score,36%
7,Sample,14 patients
7,Stateavg,al_scip-card-2
8,ProviderNumber,10005
8,HospitalName,marshall medical center south
8,Address1,2505 u s highway 431 north
8,Address2,
8,Address3,
8,City,boaz
8,State,al
8,ZipCode,35957
8,CountyName,marshall
8,PhoneNumber,2565938310
8,HospitalType,acute care hospitals
8,HospitalOwner,government - hospital district or authority
8,EmergencyService,yes
8,Condition,surgical infection prevention
8,MeasureCode,scip-inf-4
8,MeasureName,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
8,Score,
8,Sample,0 patients
8,Stateavg,al_scip-inf-4
9,ProviderNumber,10006
9,HospitalName,eliza coffee memorial hospital
9,Address1,205 marengo street
9,Address2,
9,Address3,
9,City,florence
9,State,al
9,ZipCode,35631
9,CountyName,lauderdale
9,PhoneNumber,2567688400
9,HospitalType,acute care hospitals
9,HospitalOwner,voluntary non-profit - other
9,EmergencyService,yes
9,Condition,pneumonia
9,MeasureCode,pn-2
9,MeasureName,pneumonia patients assessed and given pneumococcal vaccination
9,Score,90%
9,Sample,174 patients
9,Stateavg,al_pn-2
10,ProviderNumber,10008
10,HospitalName,crenshaw community hospital
10,Address1,101 hospital circle
10,Address2,
10,Address3,
10,City,luverne
10,State,al
10,ZipCode,36049
10,CountyName,crenshaw
10,PhoneNumber,3343353374
10,HospitalType,acute care hospitals
10,HospitalOwner,government - federal
10,EmergencyService,yes
10,Condition,heart attack
10,MeasureCode,ami-8a
10,MeasureName,heart attack patients given pci within 90 minutes of arrival
10,Score,
10,Sample,0 patients
10,Stateavg,al_ami-8a
11,ProviderNumber,10008
11,HospitalName,crenshaw community hospital
11,Address1,101 hospital circle
11,Address2,
11,Address3,
11,City,luverne
11,State,al
11,ZipCode,36049
11,CountyName,crenshaw
11,PhoneNumber,3343353374
11,HospitalType,acute care hospitals
11,HospitalOwner,government - federal
11,EmergencyService,yes
11,Condition,pneumonia
11,MeasureCode,pn-5c
11,MeasureName,pneumonia patients given initial antibiotic(s) within 6 hours after arrival
11,Score,95%
11,Sample,21 patients
11,Stateavg,al_pn-5c
12,ProviderNumber,10010
12,HospitalName,marshall medical center north
12,Address1,8000 alabama highway 69
12,Address2,
12,Address3,
12,City,guntersville
12,State,al
12,ZipCode,35976
12,CountyName,marshall
12,PhoneNumber,2565718000
12,HospitalType,acute care hospitals
12,HospitalOwner,government - hospital district or authority
12,EmergencyService,yes
12,Condition,surgical infection prevention
12,MeasureCode,scip-inf-2
12,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection
12,Score,91%
12,Sample,64 patients
12,Stateavg,al_scip-inf-2
13,ProviderNumber,10011
13,HospitalName,st vincents east
13,Address1,50 medical park east drive
13,Address2,
13,Address3,
13,City,birmingham
13,State,al
13,ZipCode,35235
13,CountyName,jefferson
13,PhoneNumber,2058383122
13,HospitalType,acute care hospitals
13,HospitalOwner,voluntary non-profit - private
13,EmergencyService,yes
13,Condition,pneumonia
13,MeasureCode,pn-4
13,MeasureName,pneumonia patients given smoking cessation advice/counseling
13,Score,100%
13,Sample,69 patients
13,Stateavg,al_pn-4
14,ProviderNumber,10012
14,HospitalName,dekalb regional medical center
14,Address1,200 med center drive
14,Address2,
14,Address3,
14,City,fort payne
14,State,al
14,ZipCode,35968
14,CountyName,de kalb
14,PhoneNumber,2568453150
14,HospitalType,acute care hospitals
14,HospitalOwner,voluntary non-profit - church
14,EmergencyService,yes
14,Condition,heart attack
14,MeasureCode,ami-8a
14,MeasureName,heart attack patients given pci within 90 minutes of arrival
14,Score,40%
14,Sample,5 patients
14,Stateavg,al_ami-8a
15,ProviderNumber,10012
15,HospitalName,dekalb regional medical center
15,Address1,200 med center drive
15,Address2,
15,Address3,
15,City,fort payne
15,State,al
15,ZipCode,35968
15,CountyName,de kalb
15,PhoneNumber,2568453150
15,HospitalType,acute care hospitals
15,HospitalOwner,voluntary non-profit - church
15,EmergencyService,yes
15,Condition,heart failure
15,MeasureCode,hf-3
15,MeasureName,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
15,Score,94%
15,Sample,36 patients
15,Stateavg,al_hf-3
16,ProviderNumber,10012
16,HospitalName,dekalb regional medical center
16,Address1,200 med center drive
16,Address2,
16,Address3,
16,City,fort payne
16,State,al
16,ZipCode,35968
16,CountyName,de kalb
16,PhoneNumber,2568453150
16,HospitalType,acute care hospitals
16,HospitalOwner,voluntary non-profit - church
16,EmergencyService,yes
16,Condition,pneumonia
16,MeasureCode,pn-2
16,MeasureName,pneumonia patients assessed and given pneumococcal vaccination
16,Score,97%
16,Sample,69 patients
16,Stateavg,al_pn-2
17,ProviderNumber,10012
17,HospitalName,dekalb regional medical center
17,Address1,200 med center drive
17,Address2,
17,Address3,
17,City,fort payne
17,State,al
17,ZipCode,35968
17,CountyName,de kalb
17,PhoneNumber,2568453150
17,HospitalType,acute care hospitals
17,HospitalOwner,voluntary non-profit - church
17,EmergencyService,yes
17,Condition,pneumonia
17,MeasureCode,pn-6
17,MeasureName,pneumonia patients given the most appropriate initial antibiotic(s)
17,Score,88%
17,Sample,82 patients
17,Stateavg,al_pn-6
18,ProviderNumber,10012
18,HospitalName,dekalb regional medical center
18,Address1,200 med center drive
18,Address2,
18,Address3,
18,City,fort payne
18,State,al
18,ZipCode,35968
18,CountyName,de kalb
18,PhoneNumber,2568453150
18,HospitalType,acute care hospitals
18,HospitalOwner,voluntary non-profit - church
18,EmergencyService,yes
18,Condition,surgical infection prevention
18,MeasureCode,scip-inf-2
18,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection
18,Score,99%
18,Sample,147 patients
18,Stateavg,al_scip-inf-2
19,ProviderNumber,10015
19,HospitalName,southwest alabama medical center
19,Address1,33700 highway 43
19,Address2,
19,Address3,
19,City,thomasville
19,State,al
19,ZipCode,36784
19,CountyName,clarke
19,PhoneNumber,3346366221
19,HospitalType,acute care hospitals
19,HospitalOwner,government - federal
19,EmergencyService,yes
19,Condition,heart failure
19,MeasureCode,hf-1
19,MeasureName,heart failure patients given discharge instructions
19,Score,100%
19,Sample,79 patients
19,Stateavg,al_hf-1
20,ProviderNumber,10015
20,HospitalName,southwest alabama medical center
20,Address1,33700 highway 43
20,Address2,
20,Address3,
20,City,thomasville
20,State,al
20,ZipCode,36784
20,CountyName,clarke
20,PhoneNumber,3346366221
20,HospitalType,acute care hospitals
20,HospitalOwner,government - federal
20,EmergencyService,yes
20,Condition,pneumonia
20,MeasureCode,pn-5c
20,MeasureName,pneumonia patients given initial antibiotic(s) within 6 hours after arrival
20,Score,96%
20,Sample,24 patients
20,Stateavg,al_pn-5c
21,ProviderNumber,10015
21,HospitalName,southwest alabama medical center
21,Address1,33700 highway 43
21,Address2,
21,Address3,
21,City,thomasville
21,State,al
21,ZipCode,36784
21,CountyName,clarke
21,PhoneNumber,3346366221
21,HospitalType,acute care hospitals
21,HospitalOwner,government - federal
21,EmergencyService,yes
21,Condition,surgical infection prevention
21,MeasureCode,scip-card-2
21,MeasureName,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery
21,Score,
21,Sample,
21,Stateavg,al_scip-card-2
22,ProviderNumber,10015
22,HospitalName,southwest alabama medical center
22,Address1,33700 highway 43
22,Address2,
22,Address3,
22,City,thomasville
22,State,al
22,ZipCode,36784
22,CountyName,clarke
22,PhoneNumber,3346366221
22,HospitalType,acute care hospitals
22,HospitalOwner,government - federal
22,EmergencyService,yes
22,Condition,surgical infection prevention
22,MeasureCode,scip-inf-3
22,MeasureName,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
22,Score,86%
22,Sample,14 patients
22,Stateavg,al_scip-inf-3
23,ProviderNumber,10016
23,HospitalName,shelby baptist medical center
23,Address1,1000 first street north
23,Address2,
23,Address3,
23,City,alabaster
23,State,al
23,ZipCode,35007
23,CountyName,shelby
23,PhoneNumber,2056208100
23,HospitalType,acute care hospitals
23,HospitalOwner,voluntary non-profit - church
23,EmergencyService,yes
23,Condition,heart attack
23,MeasureCode,ami-2
23,MeasureName,heart attack patients given aspirin at discharge
23,Score,97%
23,Sample,208 patients
23,Stateavg,al_ami-2
24,ProviderNumber,10016
24,HospitalName,shelby baptist medical center
24,Address1,1000 first street north
24,Address2,
24,Address3,
24,City,alabaster
24,State,al
24,ZipCode,35007
24,CountyName,shelby
24,PhoneNumber,2056208100
24,HospitalType,acute care hospitals
24,HospitalOwner,voluntary non-profit - church
24,EmergencyService,yes
24,Condition,heart attack
24,MeasureCode,ami-7a
24,MeasureName,heart attack patients given fibrinolytic medication within 30 minutes of arrival
24,Score,
24,Sample,0 patients
24,Stateavg,al_ami-7a
25,ProviderNumber,10016
25,HospitalName,shelby baptist medical center
25,Address1,1000 first street north
25,Address2,
25,Address3,
25,City,alabaster
25,State,al
25,ZipCode,35007
25,CountyName,shelby
25,PhoneNumber,2056208100
25,HospitalType,acute care hospitals
25,HospitalOwner,voluntary non-profit - church
25,EmergencyService,yes
25,Condition,pneumonia
25,MeasureCode,pn-4
25,MeasureName,pneumonia patients given smoking cessation advice/counseling
25,Score,100%
25,Sample,131 patients
25,Stateavg,al_pn-4
26,ProviderNumber,10016
26,HospitalName,shelby baptist medical center
26,Address1,1000 first street north
26,Address2,
26,Address3,
26,City,alabaster
26,State,al
26,ZipCode,35007
26,CountyName,shelby
26,PhoneNumber,2056208100
26,HospitalType,acute care hospitals
26,HospitalOwner,voluntary non-profit - church
26,EmergencyService,yes
26,Condition,surgical infection prevention
26,MeasureCode,scip-vte-1
26,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
26,Score,97%
26,Sample,226 patients
26,Stateavg,al_scip-vte-1
27,ProviderNumber,10018
27,HospitalName,callahan eye foundation hospital
27,Address1,1720 university blvd
27,Address2,
27,Address3,
27,City,birmingham
27,State,al
27,ZipCode,35233
27,CountyName,jefferson
27,PhoneNumber,2053258100
27,HospitalType,acute care hospitals
27,HospitalOwner,voluntary non-profit - private
27,EmergencyService,yes
27,Condition,pneumonia
27,MeasureCode,pn-5c
27,MeasureName,pneumonia patients given initial antibiotic(s) within 6 hours after arrival
27,Score,
27,Sample,
27,Stateavg,al_pn-5c
28,ProviderNumber,10038
28,HospitalName,stringfellow memorial hospital
28,Address1,301 east 18th st
28,Address2,
28,Address3,
28,City,anniston
28,State,al
28,ZipCode,36201
28,CountyName,calhoun
28,PhoneNumber,2562358900
28,HospitalType,acute care hospitals
28,HospitalOwner,proprietary
28,EmergencyService,yes
28,Condition,heart attack
28,MeasureCode,ami-4
28,MeasureName,heart attack patients given smoking cessation advice/counseling
28,Score,100%
28,Sample,29 patients
28,Stateavg,al_ami-4
29,ProviderNumber,10038
29,HospitalName,stringfellow memorial hospital
29,Address1,301 east 18th st
29,Address2,
29,Address3,
29,City,anniston
29,State,al
29,ZipCode,36201
29,CountyName,calhoun
29,PhoneNumber,2562358900
29,HospitalType,acute care hospitals
29,HospitalOwner,proprietary
29,EmergencyService,yes
29,Condition,pneumonia
29,MeasureCode,pn-4
29,MeasureName,pneumonia patients given smoking cessation advice/counseling
29,Score,100%
29,Sample,83 patients
29,Stateavg,al_pn-4
30,ProviderNumber,10055
30,HospitalName,flowers hospital
30,Address1,4370 west main street
30,Address2,
30,Address3,
30,City,dothan
30,State,al
30,ZipCode,36305
30,CountyName,houston
30,PhoneNumber,3347935000
30,HospitalType,acute care hospitals
30,HospitalOwner,proprietary
30,EmergencyService,yes
30,Condition,heart failure
30,MeasureCode,hf-3
30,MeasureName,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
30,Score,100%
30,Sample,94 patients
30,Stateavg,al_hf-3
31,ProviderNumber,10086
31,HospitalName,northwest medical center
31,Address1,1530 u s highway 43
31,Address2,
31,Address3,
31,City,winfield
31,State,al
31,ZipCode,35594
31,CountyName,marion
31,PhoneNumber,2054877736
31,HospitalType,acute care hospitals
31,HospitalOwner,proprietary
31,EmergencyService,yes
31,Condition,heart failure
31,MeasureCode,hf-3
31,MeasureName,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
31,Score,85%
31,Sample,13 patients
31,Stateavg,al_hf-3
32,ProviderNumber,10086
32,HospitalName,northwest medical center
32,Address1,1530 u s highway 43
32,Address2,
32,Address3,
32,City,winfield
32,State,al
32,ZipCode,35594
32,CountyName,marion
32,PhoneNumber,2054877736
32,HospitalType,acute care hospitals
32,HospitalOwner,proprietary
32,EmergencyService,yes
32,Condition,pneumonia
32,MeasureCode,pn-2
32,MeasureName,pneumonia patients assessed and given pneumococcal vaccination
32,Score,91%
32,Sample,66 patients
32,Stateavg,al_pn-2
33,ProviderNumber,10086
33,HospitalName,northwest medical center
33,Address1,1530 u s highway 43
33,Address2,
33,Address3,
33,City,winfield
33,State,al
33,ZipCode,35594
33,CountyName,marion
33,PhoneNumber,2054877736
33,HospitalType,acute care hospitals
33,HospitalOwner,proprietary
33,EmergencyService,yes
33,Condition,pneumonia
33,MeasureCode,pn-7
33,MeasureName,pneumonia patients assessed and given influenza vaccination
33,Score,82%
33,Sample,45 patients
33,Stateavg,al_pn-7
34,ProviderNumber,10086
34,HospitalName,northwest medical center
34,Address1,1530 u s highway 43
34,Address2,
34,Address3,
34,City,winfield
34,State,al
34,ZipCode,35594
34,CountyName,marion
34,PhoneNumber,2054877736
34,HospitalType,acute care hospitals
34,HospitalOwner,proprietary
34,EmergencyService,yes
34,Condition,surgical infection prevention
34,MeasureCode,scip-inf-1
34,MeasureName,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
34,Score,98%
34,Sample,102 patients
34,Stateavg,al_scip-inf-1
35,ProviderNumber,10108
35,HospitalName,prattville baptist hospital
35,Address1,124 s memorial dr
35,Address2,
35,Address3,
35,City,prattville
35,State,al
35,ZipCode,36067
35,CountyName,autauga
35,PhoneNumber,3343614267
35,HospitalType,acute care hospitals
35,HospitalOwner,voluntary non-profit - private
35,EmergencyService,yes
35,Condition,pneumonia
35,MeasureCode,pn-4
35,MeasureName,pneumonia patients given smoking cessation advice/counseling
35,Score,100%
35,Sample,67 patients
35,Stateavg,al_pn-4
36,ProviderNumber,10108
36,HospitalName,prattville baptist hospital
36,Address1,124 s memorial dr
36,Address2,
36,Address3,
36,City,prattville
36,State,al
36,ZipCode,36067
36,CountyName,autauga
36,PhoneNumber,3343614267
36,HospitalType,acute care hospitals
36,HospitalOwner,voluntary non-profit - private
36,EmergencyService,yes
36,Condition,pneumonia
36,MeasureCode,pn-7
36,MeasureName,pneumonia patients assessed and given influenza vaccination
36,Score,99%
36,Sample,89 patients
36,Stateavg,al_pn-7
37,ProviderNumber,20017
37,HospitalName,alaska regional hospital
37,Address1,2801 debarr road
37,Address2,
37,Address3,
37,City,anchorage
37,State,ak
37,ZipCode,99508
37,CountyName,anchorage
37,PhoneNumber,9072761131
37,HospitalType,acute care hospitals
37,HospitalOwner,proprietary
37,EmergencyService,yes
37,Condition,pneumonia
37,MeasureCode,pn-2
37,MeasureName,pneumonia patients assessed and given pneumococcal vaccination
37,Score,97%
37,Sample,37 patients
37,Stateavg,ak_pn-2
38,ProviderNumber,20017
38,HospitalName,alaska regional hospital
38,Address1,2801 debarr road
38,Address2,
38,Address3,
38,City,anchorage
38,State,ak
38,ZipCode,99508
38,CountyName,anchorage
38,PhoneNumber,9072761131
38,HospitalType,acute care hospitals
38,HospitalOwner,proprietary
38,EmergencyService,yes
38,Condition,pneumonia
38,MeasureCode,pn-3b
38,MeasureName,pneumonia patients whose initial emergency room blood culture was performed prior to the administration of the first hospital dose of antibiotics
38,Score,100%
38,Sample,47 patients
38,Stateavg,ak_pn-3b
39,ProviderNumber,20017
39,HospitalName,alaska regional hospital
39,Address1,2801 debarr road
39,Address2,
39,Address3,
39,City,anchorage
39,State,ak
39,ZipCode,99508
39,CountyName,anchorage
39,PhoneNumber,9072761131
39,HospitalType,acute care hospitals
39,HospitalOwner,proprietary
39,EmergencyService,yes
39,Condition,surgical infection prevention
39,MeasureCode,scip-inf-3
39,MeasureName,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
39,Score,88%
39,Sample,499 patients
39,Stateavg,ak_scip-inf-3
40,ProviderNumber,10019
40,HospitalName,helen keller memorial hospital
40,Address1,1300 south montgomery avenue
40,Address2,
40,Address3,
40,City,sheffield
40,State,al
40,ZipCode,35660
40,CountyName,jefferson
40,PhoneNumber,2563864556
40,HospitalType,acute care hospitals
40,HospitalOwner,government - hospital district or authority
40,EmergencyService,yes
40,Condition,pneumonia
40,MeasureCode,pn-6
40,MeasureName,pneumonia patients given the most appropriate initial antibiotic(s)
40,Score,86%
40,Sample,139 patients
40,Stateavg,al_pn-6
41,ProviderNumber,10019
41,HospitalName,helen keller memorial hospital
41,Address1,1300 south montgomery avenue
41,Address2,
41,Address3,
41,City,sheffield
41,State,al
41,ZipCode,35660
41,CountyName,jefferson
41,PhoneNumber,2563864556
41,HospitalType,acute care hospitals
41,HospitalOwner,government - hospital district or authority
41,EmergencyService,yes
41,Condition,surgical infection prevention
41,MeasureCode,scip-inf-6
41,MeasureName,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor)
41,Score,97%
41,Sample,369 patients
41,Stateavg,al_scip-inf-6
42,ProviderNumber,10019
42,HospitalName,helen keller memorial hospital
42,Address1,1300 south montgomery avenue
42,Address2,
42,Address3,
42,City,sheffield
42,State,al
42,ZipCode,35660
42,CountyName,jefferson
42,PhoneNumber,2563864556
42,HospitalType,acute care hospitals
42,HospitalOwner,government - hospital district or authority
42,EmergencyService,yes
42,Condition,surgical infection prevention
42,MeasureCode,scip-vte-1
42,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
42,Score,85%
42,Sample,144 patients
42,Stateavg,al_scip-vte-1
43,ProviderNumber,10021
43,HospitalName,dale medical center
43,Address1,126 hospital ave
43,Address2,
43,Address3,
43,City,ozark
43,State,al
43,ZipCode,36360
43,CountyName,dale
43,PhoneNumber,3347742601
43,HospitalType,acute care hospitals
43,HospitalOwner,government - hospital district or authority
43,EmergencyService,yes
43,Condition,surgical infection prevention
43,MeasureCode,scip-vte-2
43,MeasureName,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
43,Score,68%
43,Sample,50 patients
43,Stateavg,al_scip-vte-2
44,ProviderNumber,10022
44,HospitalName,cherokee medical center
44,Address1,400 northwood dr
44,Address2,
44,Address3,
44,City,centre
44,State,al
44,ZipCode,35960
44,CountyName,cherokee
44,PhoneNumber,2569275531
44,HospitalType,acute care hospitals
44,HospitalOwner,voluntary non-profit - private
44,EmergencyService,yes
44,Condition,surgical infection prevention
44,MeasureCode,scip-vte-1
44,MeasureName,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
44,Score,100%
44,Sample,5 patients
44,Stateavg,al_scip-vte-1
45,ProviderNumber,10022
45,HospitalName,cherokee medical center
45,Address1,400 northwood dr
45,Address2,
45,Address3,
45,City,centre
45,State,al
45,ZipCode,35960
45,CountyName,cherokee
45,PhoneNumber,2569275531
45,HospitalType,acute care hospitals
45,HospitalOwner,voluntary non-profit - private
45,EmergencyService,yes
45,Condition,surgical infection prevention
45,MeasureCode,scip-vte-2
45,MeasureName,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
45,Score,100%
45,Sample,5 patients
45,Stateavg,al_scip-vte-2
46,ProviderNumber,10023
46,HospitalName,baptist medical center south
46,Address1,2105 east south boulevard
46,Address2,
46,Address3,
46,City,montgomery
46,State,al
46,ZipCode,36116
46,CountyName,montgomery
46,PhoneNumber,3342882100
46,HospitalType,acute care hospitals
46,HospitalOwner,voluntary non-profit - church
46,EmergencyService,yes
46,Condition,heart attack
46,MeasureCode,ami-1
46,MeasureName,heart attack patients given aspirin at arrival
46,Score,100%
46,Sample,134 patients
46,Stateavg,al_ami-1
47,ProviderNumber,10023
47,HospitalName,baptist medical center south
47,Address1,2105 east south boulevard
47,Address2,
47,Address3,
47,City,montgomery
47,State,al
47,ZipCode,36116
47,CountyName,montgomery
47,PhoneNumber,3342882100
47,HospitalType,acute care hospitals
47,HospitalOwner,voluntary non-profit - church
47,EmergencyService,yes
47,Condition,heart failure
47,MeasureCode,hf-1
47,MeasureName,heart failure patients given discharge instructions
47,Score,100%
47,Sample,257 patients
47,Stateavg,al_hf-1
48,ProviderNumber,10023
48,HospitalName,baptist medical center south
48,Address1,2105 east south boulevard
48,Address2,
48,Address3,
48,City,montgomery
48,State,al
48,ZipCode,36116
48,CountyName,montgomery
48,PhoneNumber,3342882100
48,HospitalType,acute care hospitals
48,HospitalOwner,voluntary non-profit - church
48,EmergencyService,yes
48,Condition,heart failure
48,MeasureCode,hf-3
48,MeasureName,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd)
48,Score,100%
48,Sample,98 patients
48,Stateavg,al_hf-3
49,ProviderNumber,10023
49,HospitalName,baptist medical center south
49,Address1,2105 east south boulevard
49,Address2,
49,Address3,
49,City,montgomery
49,State,al
49,ZipCode,36116
49,CountyName,montgomery
49,PhoneNumber,3342882100
49,HospitalType,acute care hospitals
49,HospitalOwner,voluntary non-profit - church
49,EmergencyService,yes
49,Condition,surgical infection prevention
49,MeasureCode,scip-inf-1
